Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,40,41,42,33,34,35
P01833,2471.86412229939,6.69410126962601,0.485352274204994,13.7922528138782,2.83758183399879e-43,1.263603566498e-38,8217.56154786099,3835.31898159416,2635.74335514955,62.2698004211228,46.1012574300319,34.1897913404964
Q8TDL5,169.991302610097,6.5602455974396,0.613659075669075,10.6903749289244,1.1291359713517e-26,2.51407769701312e-22,473.574587209097,266.378716723961,268.745784362306,5.08324901396921,4.49768365171043,1.66779469953641
ENST00000662649.1,202.542784181524,3.50562776496209,0.36943165642767,9.4892457210105,2.32712008752144e-21,3.45429948724724e-17,374.292703098175,277.069501341646,465.430396261533,35.5827430977845,30.3593646490454,32.52199664096
Q06945,1749.91396607598,-3.37720782821339,0.358096195327652,-9.43100728876301,4.06169419509212e-21,4.52178260504118e-17,387.199348032595,278.851298777926,256.029106868821,2497.14607811238,4397.61019045988,2682.64777420431
Q9HC84,333.77029860252,4.79239419021976,0.524671623193288,9.13408306904804,6.59633780626724e-20,5.87483037701773e-16,429.890558200291,1143.9139540922,358.610305316263,27.9578695768307,24.7372600844074,17.5118443451323
Q76KP1,88.618657218033,-4.41591460965552,0.489160016491399,-9.0275461214708,1.75564325385542e-19,1.3030091622906e-15,11.9138260933106,6.23629102698238,5.93444949695943,124.539600842246,178.78292515549,204.30485069321
Q8N292,258.603320237095,3.34929472104399,0.376058352553503,8.90631652854319,5.27561606605223e-19,3.35612084339103e-15,460.667942274677,428.522283425503,524.774891231127,26.6870573233384,55.0966247334528,55.8711224344697
Q14781,348.570797988782,-4.59056901836626,0.533832593326771,-8.59926702818663,8.02268239722189e-18,4.10951178898256e-14,22.834833345512,19.5997717990875,40.6933679791504,1180.58458349435,466.634678864957,361.077552449632
ENST00000658749.1,189.82429612472,2.73539112602091,0.318243084570843,8.59528850315678,8.30558624348052e-18,4.10951178898256e-14,350.465050911554,324.287133403084,316.221380337981,43.2076166187383,47.2256783429596,57.5389171340061
ENST00000460633.1,188.931454868504,-9.28864009672801,1.10191419256852,-8.42954937813859,3.4699883392152e-17,1.54522050733592e-13,0,1.78179743628068,0,249.079201684491,414.911316870288,467.816413219963
ENST00000368178.3,136.174016415117,3.41161766395865,0.410794588610719,8.3049235762733,9.98837167738248e-17,3.49770672087138e-13,242.247797230649,239.651755179751,265.354670364043,12.708122534923,33.7326273878283,23.3491257935097
P08913,81.1650902781975,4.35877906040221,0.525008185750508,8.30230685674216,1.02109064182991e-16,3.49770672087138e-13,125.095173979761,182.63423721877,156.839022419642,10.1664980279384,2.24884182585522,10.0067681972185
P11836,122.719193520269,4.2295430494535,0.509389043036131,8.30316848639695,1.01370959053878e-16,3.49770672087138e-13,167.786384147458,236.97905902533,295.02691784884,3.81243676047691,16.8663136939141,15.8440496455959
M0QX95,66.6188588512519,5.72514854132431,0.70403691915557,8.13188681666171,4.22659369116459e-16,1.34438888329464e-12,142.965913119727,82.8535807870516,166.164585914864,3.81243676047691,2.24884182585522,1.66779469953641
M0R1M2,100.326051755695,4.35975191308144,0.537118819926494,8.11692264605079,4.78153323408694e-16,1.4195097096475e-12,233.312427660666,106.907846176841,233.986865880115,5.08324901396921,13.4930509551313,9.17287084745025
P54707,185.941219961962,6.17442122670514,0.763299756686691,8.08911724734052,6.00986985586641e-16,1.67265946594742e-12,571.863652478909,70.3809987330868,457.800389765442,6.35406126746151,6.74652547756565,2.50169204930461
ENST00000503764.1,101.803255442574,4.11367377795098,0.509580902810052,8.07266079883759,6.87824975557551e-16,1.80173729332666e-12,187.642760969642,174.616148755507,215.335738889671,3.81243676047691,20.239576432697,9.17287084745025
V9HWN9,268.693517780525,2.61566131662135,0.328798535266107,7.9552097593878,1.78828271651209e-15,4.42411209161109e-12,384.220891509267,551.46630652887,451.018161768917,62.2698004211228,76.4606220790774,86.7253243758932
ENST00000480310.1,153.108842612666,4.91160281512933,0.620171949131716,7.91974358402684,2.38000880291267e-15,5.57811431592127e-12,311.745116108294,236.97905902533,340.806956825385,0,19.1151555197693,10.0067681972185
Q8N456,174.044206940036,2.69271892494537,0.343232442908885,7.84517600412319,4.32346685818592e-15,9.62641513309387e-12,279.974913192799,287.76028595933,337.415842827122,34.3119308442922,50.5989410817424,54.2033277349333
Q7Z6A9,291.702322985241,3.31961745579942,0.426013587911389,7.79228069244097,6.5810332742606e-15,1.3955237749338e-11,435.847471246946,593.338546281466,562.924923711581,25.4162450698461,58.4698874722356,74.2168641293702
Q6ZS81,2973.2639793729,2.35461404148427,0.304084017363175,7.74330088737319,9.68684361042408e-15,1.93218895832692e-11,4246.28618342412,4328.87687144391,6347.3176262479,845.090148572381,1025.47187258998,1046.5411739591
P56159,250.02216371193,4.42233871333045,0.571397363521039,7.73951543297175,9.9796425055622e-15,1.93218895832692e-11,542.079087245633,611.156520644273,278.919126357093,44.4784288722306,13.4930509551313,10.0067681972185
Q96D96,114.068728654806,2.91900272382149,0.377651805468458,7.72934931477584,1.08097678446939e-14,2.0057073828836e-11,173.743297194113,204.015806454138,227.20463788359,26.6870573233384,20.239576432697,32.52199664096
Q9Y617,280.228862646625,-3.03744302480349,0.399910436497924,-7.59530821801709,3.0706068493208e-14,5.46948774428419e-11,59.569130466553,48.9994294977187,73.7567294622101,728.175421251089,404.791528653939,366.080936548242
Q5T2D2,144.108408796143,3.43928149269336,0.453152547748026,7.58967705198861,3.20703786617279e-14,5.49279243148233e-11,245.226253753977,228.070071843927,319.612494336244,11.4373102814307,23.6128391714798,36.691483389801
Q9BYV9,240.072072411795,2.98820457816796,0.394514184253467,7.57439072519659,3.60816951374387e-14,5.95094061542697e-11,372.307065415956,359.923082128697,545.969353720268,77.5195474630305,43.8524156041767,40.860970138642
ENST00000448179.1,86.9744018952272,-7.5635692254591,1.00019411971366,-7.56210127252538,3.96609388708212e-14,6.30764738877335e-11,1.98563768221843,0,0.847778499565633,301.182504077676,91.0780939471363,126.752397164767
ENST00000597110.1,159.068054133554,4.088992656037,0.541775961466081,7.54738664478933,4.44078757013009e-14,6.81905900984355e-11,301.816927697202,171.943452601086,428.128142280645,6.35406126746151,26.9861019102626,19.1796390446687
ENST00000604933.2,125.860168580563,2.79843902411809,0.372487219516508,7.51284575011861,5.78556837509988e-14,8.5879048437191e-11,177.71457255855,226.288274407646,256.876885368387,26.6870573233384,29.2349437361178,38.3592780893374
ENST00000434301.1,52.9573843998741,5.22065415740291,0.696435952088572,7.49624447409193,6.56722535069868e-14,9.43371329328913e-11,122.116717456434,73.0536948875078,114.45009744136,0,5.62210456463804,2.50169204930461
ENST00000532491.5,56.7500135153984,4.5462135442825,0.608719143950656,7.46849115796993,8.11195658781385e-14,1.12885480878731e-10,116.159804409778,89.9807705321743,121.232325437886,0,5.62210456463804,7.50507614791384
P11912,232.688107844028,2.56025528700817,0.344626476401961,7.42907310470823,1.09361295762167e-13,1.47574783684396e-10,299.831290014984,424.958688552942,468.821510259795,76.2487352095382,56.2210456463804,70.0473773805292
